,introduction,url,price,unit_price,community,street,room_type,acreage,toward,decoration,floor_type,floor_total,year,type,follow,release_time
697,合和新城 精装刚需两房 中楼层 采光好,https://gz.lianjia.com/ershoufang/108400020744.html,207,22500,合和新城 ,镜湖大道,2室2厅,92,东北,精装,中楼,15,2004,平房,6,一年前发布
698,雅宝新城 大三房户型方正北朝向朝向*区中高层,https://gz.lianjia.com/ershoufang/108400022532.html,260,18535,雅宝新城名门世家 ,狮岭镇,3室2厅,140.28,北,毛坯,中楼,29,2012,塔楼,4,一年前发布
699,毛坯3房，空间宽敞，采光通风，户型方正,https://gz.lianjia.com/ershoufang/108400079969.html,165,18693,学府南苑 ,狮岭镇,3室2厅,88.27,北,毛坯,低楼,18,2011,塔楼,1,一年前发布
700,学府南苑，毛坯大三房。中高楼层,https://gz.lianjia.com/ershoufang/108400079975.html,145,14078,学府南苑 ,狮岭镇,3室2厅,103,西北,毛坯,中楼,15,2011,塔楼,5,一年前发布
701,地铁口物业 马鞍山公园 锦上蓬莱旁,https://gz.lianjia.com/ershoufang/108400081473.html,212,21101,骊雅居 ,新区,2室2厅,100.47,南,毛坯,低楼,21,-,塔楼,0,一年前发布
702,祈福都会 四房两厅带装修 北向望花园,https://gz.lianjia.com/ershoufang/108400088649.html,219,15870,祈福都会花园 ,花山镇,4室2厅,138,东北,简装,高楼,11,2011,塔楼,0,一年前发布
703,马鞍山公园物业 锦尚蓬莱精装3房 望花园 广百大润发,https://gz.lianjia.com/ershoufang/108400091060.html,326,28994,锦尚蓬莱苑 ,新区,3室2厅,112.44,南,精装,低楼,18,2011,塔楼,6,一年前发布
704,金碧御水山庄     急售房源,https://gz.lianjia.com/ershoufang/108400099600.html,120.7,6329,金碧御水山庄 ,狮岭镇,5室2厅,190.64,西南,毛坯,低楼,19,2007,塔楼,116,一年前发布
705,金碧御水山庄 一楼带花园 精装四房 三代同堂都可,https://gz.lianjia.com/ershoufang/108400099774.html,170,10371,金碧御水山庄 ,狮岭镇,4室2厅,163.93,北,简装,低楼,11,2009,塔楼,4,一年前发布
706,金碧御水山庄 南向电梯高层 实用两房 简单装修 可约,https://gz.lianjia.com/ershoufang/108400099808.html,62.5,9996,金碧御水山庄 ,狮岭镇,2室2厅,62.53,南,简装,高楼,11,2003,塔楼,63,一年前发布
707,富力金港城2房2厅，精装修，业主诚心卖,https://gz.lianjia.com/ershoufang/108400099985.html,112,13659,富力金港城北区 ,花东镇,2室2厅,82,南,精装,低楼,11,2010,塔楼,3,一年前发布
708,富力金港城             精装大3房出售,https://gz.lianjia.com/ershoufang/108400100014.html,168,13207,富力金港城东区 ,花东镇,3室2厅,127.21,北,精装,低楼,15,2012,塔楼,7,一年前发布
709,芙蓉春晓 3室2厅 155万,https://gz.lianjia.com/ershoufang/108400103115.html,155,16033,芙蓉春晓 ,狮岭镇,3室2厅,96.68,南,毛坯,中楼,29,2015,塔楼,2,一年前发布
710,机场沿线 航都花园 南向电梯三房 地铁9号线 随时看房,https://gz.lianjia.com/ershoufang/108400114055.html,248,18788,航都花园 ,新区,3室2厅,132,南,简装,中楼,16,2001,塔楼,2,一年前发布
711,南航花园 政府板块 配套完善 生活便利！,https://gz.lianjia.com/ershoufang/108400126371.html,300,19608,南航花园 ,新区,4室2厅,153,南,精装,低楼,12,2002,塔楼,15,一年前发布
712,宝铼雅居 电梯洋房 业主诚心出售,https://gz.lianjia.com/ershoufang/108400144956.html,177,14971,宝铼雅居 ,铁路西,3室2厅,118.23,东南,毛坯,低楼,18,2013,板楼,3,一年前发布
713,豪逸名苑 标准两房 电梯精装两房,https://gz.lianjia.com/ershoufang/108400145011.html,140,16590,豪逸名苑 ,旧区,2室2厅,84.39,南 北,精装,高楼,18,-,塔楼,55,一年前发布
714,馨泉花园复式房，层高8米，可以做成4房。,https://gz.lianjia.com/ershoufang/108400145515.html,180,17235,馨泉花园 ,新区,3室2厅,104.44,西南,毛坯,高楼,11,2007,塔楼,21,一年前发布
715,馨泉花园，电梯高层，4房，东南向，望花园。,https://gz.lianjia.com/ershoufang/108400145527.html,210,14822,馨泉花园 ,新区,4室2厅,141.69,东南,毛坯,高楼,15,2007,塔楼,7,一年前发布
716,首付60万左右就可以买到馨泉花园大三房了。,https://gz.lianjia.com/ershoufang/108400145528.html,185,15794,馨泉花园 ,新区,3室2厅,117.14,东南,毛坯,中楼,11,2007,塔楼,8,一年前发布
717,馨泉花园增高层，层高6.2米，可以装修成复式房。,https://gz.lianjia.com/ershoufang/108400145546.html,182,19422,馨泉花园 ,新区,3室2厅,93.71,北,精装,高楼,9,-,塔楼,16,一年前发布
718,祈福都会 三房高层精装 全新未住 视野开阔,https://gz.lianjia.com/ershoufang/108400145567.html,150,16699,祈福都会花园 ,花山镇,3室2厅,89.83,北,精装,高楼,11,2011,塔楼,6,一年前发布
719,宝铼雅居 房源真实 精装修 业主诚心出售,https://gz.lianjia.com/ershoufang/108400145591.html,129,14806,宝铼雅居 ,铁路西,2室2厅,87.13,西,简装,中楼,11,2013,塔楼,0,一年前发布
720,业主转行回老家发展 诚心出售 欲购从速,https://gz.lianjia.com/ershoufang/108400145612.html,130,15361,宝铼雅居 ,铁路西,2室2厅,84.63,北,毛坯,低楼,11,2013,塔楼,0,一年前发布
721,宝铼雅居 南北对流 户型方正实用 业主诚心出售,https://gz.lianjia.com/ershoufang/108400145617.html,155,15148,宝铼雅居 ,铁路西,3室2厅,102.33,南 北,毛坯,中楼,11,2013,塔楼,4,一年前发布
722,宝铼雅居 电梯三房 南向望花园 欲购从速,https://gz.lianjia.com/ershoufang/108400153808.html,165,14981,宝铼雅居 ,铁路西,3室2厅,110.14,南,毛坯,中楼,18,2013,塔楼,1,一年前发布
723,金碧御水山庄 4室2厅 133万,https://gz.lianjia.com/ershoufang/108400156459.html,133,8526,金碧御水山庄 ,狮岭镇,4室2厅,156,南,精装,高楼,11,2009,塔楼,9,一年前发布
724,祈福都会4房，带装修，户型方正，诚意出售。,https://gz.lianjia.com/ershoufang/108400163301.html,198,14553,祈福都会花园 ,花山镇,4室2厅,136.06,北,简装,高楼,11,2011,塔楼,3,一年前发布
725,富力金港城 电梯两房 户型方正,https://gz.lianjia.com/ershoufang/108400166078.html,108,13265,富力金港城北区 ,花东镇,2室2厅,81.42,北,简装,高楼,17,2012,塔楼,2,一年前发布
726,高层南向 户型方正 采光通风 业主诚心出售,https://gz.lianjia.com/ershoufang/108400170318.html,125,15740,宝铼雅居 ,铁路西,2室2厅,79.42,东南,毛坯,中楼,11,2013,塔楼,11,一年前发布
727,金碧御水山庄，实用四房，格局方正,https://gz.lianjia.com/ershoufang/108400170807.html,140,8571,金碧御水山庄 ,狮岭镇,4室2厅,163.35,北,简装,高楼,18,-,塔楼,1,一年前发布
728,荣翠轩电梯高层洋房，标准3房，值得购买！,https://gz.lianjia.com/ershoufang/108400172197.html,160,15945,荣翠轩 ,新区,3室2厅,100.35,南,毛坯,中楼,14,2012,塔楼,6,一年前发布
729,宝铼雅居 业主工作调动 诚心出售,https://gz.lianjia.com/ershoufang/108400178202.html,171,14460,宝铼雅居 ,铁路西,3室2厅,118.26,南,毛坯,中楼,18,2013,塔楼,3,一年前发布
730,位置好 地段好 房屋保养新净 拎包即可入住,https://gz.lianjia.com/ershoufang/108400186816.html,145,16160,狮峰公馆 ,铁路西,2室2厅,89.73,东,精装,中楼,16,2012,塔楼,23,11个月以前发布
731,宝铼雅居 电梯高层 南向望花园 业主诚心出售,https://gz.lianjia.com/ershoufang/108400189669.html,180,16343,宝铼雅居 ,铁路西,3室2厅,110.14,南,精装,高楼,18,2013,塔楼,7,11个月以前发布
732,机场板块 地铁口物业  方正三房 望花园 业主诚心卖,https://gz.lianjia.com/ershoufang/108400209147.html,238,18644,云峰花园1期 ,镜湖大道,3室1厅,127.66,西北,简装,高楼,12,-,塔楼,5,11个月以前发布
733,云峰花园 地铁口物业 方正户型 证过两年 随时看房,https://gz.lianjia.com/ershoufang/108400209150.html,278,21546,云峰花园3期 ,镜湖大道,3室2厅,129.03,北,毛坯,高楼,11,-,塔楼,5,11个月以前发布
734,智烨山水豪庭，毛坯高层，安静舒适,https://gz.lianjia.com/ershoufang/108400221777.html,128,13398,智烨山水豪庭 ,狮岭镇,3室2厅,95.54,北,毛坯,中楼,16,2012,塔楼,4,10个月以前发布
735,步梯三房 精装 南向   厅出阳台，南北对流通风,https://gz.lianjia.com/ershoufang/108400228369.html,95,9135,荔景苑 ,花东镇,3室2厅,104,南,精装,高楼,6,-,塔楼,26,10个月以前发布
736,俊怡云山御居 精装大三房 电梯高层 南北对流,https://gz.lianjia.com/ershoufang/108400236399.html,205,16943,俊怡云山御居 ,铁路西,3室2厅,121,北,精装,高楼,18,2012,塔楼,6,10个月以前发布
737,金碧御水山庄 精装两房 中间楼层 风景好 采光通透,https://gz.lianjia.com/ershoufang/108400263490.html,78,8479,金碧御水山庄 ,狮岭镇,2室2厅,92,西,精装,中楼,11,2009,塔楼,8,9个月以前发布
738,馨泉花园增高层，层高6.2米，可以装修成复式房。,https://gz.lianjia.com/ershoufang/108400264050.html,220,23402,馨泉花园 ,新区,3室2厅,94.01,北,毛坯,高楼,11,2010,塔楼,1,9个月以前发布
739,祈福辉煌台 4代同堂 房大厅大,https://gz.lianjia.com/ershoufang/108400264675.html,230,15880,祈福辉煌台 ,铁路西,4室2厅,144.84,东南,简装,低楼,28,2007,塔楼,3,9个月以前发布
740,紫薇丽都 证够两年 精装修 刚需小三房,https://gz.lianjia.com/ershoufang/108400266059.html,242,26594,紫薇丽都 ,新区,3室2厅,91,西南,精装,中楼,14,2013,塔楼,35,9个月以前发布
741,祈福都会精装三房 中高层景观好 满五唯一,https://gz.lianjia.com/ershoufang/108400270511.html,150,16938,祈福都会花园 ,花山镇,3室2厅,88.56,北,简装,中楼,11,2011,塔楼,1,9个月以前发布
742,两房两厅  南北对流  格局方正,https://gz.lianjia.com/ershoufang/108400282036.html,56,13356,金联西座 ,旧区,2室2厅,41.93,南,简装,高楼,7,1995,塔楼,12,9个月以前发布
743,云港花园 大润发商圈 南向三房 带入户花园 精装修,https://gz.lianjia.com/ershoufang/108400287928.html,305,23462,云港花园 ,新区,3室2厅,130,南,精装,高楼,18,2004,塔楼,0,9个月以前发布
744,舒适颐和山庄，户型实用 采光充足,https://gz.lianjia.com/ershoufang/108400292157.html,108,9535,花都颐和山庄 ,狮岭镇,3室2厅,113.27,东南,精装,高楼,9,-,塔楼,15,9个月以前发布
745,豪利花园 三期豪景阁 中层望花园 地铁口物业,https://gz.lianjia.com/ershoufang/108400297829.html,180,17822,豪利花园 ,镜湖大道,3室2厅,101,北,毛坯,中楼,16,2012,塔楼,3,9个月以前发布
746,建设北CBD中轴线中低层南向三房视野无遮挡望万达,https://gz.lianjia.com/ershoufang/108400298211.html,162,15000,芙蓉春晓 ,狮岭镇,3室2厅,108,南,毛坯,低楼,29,2015,塔楼,1,9个月以前发布
747,声缘美居   四房东向  采光好,https://gz.lianjia.com/ershoufang/108400300769.html,250,15659,星缘美居 ,新区,4室2厅,159.66,东,精装,低楼,18,2009,塔楼,9,9个月以前发布
748,此房满五唯一、业主诚心出售，产权清晰无抵押、,https://gz.lianjia.com/ershoufang/108400308565.html,420,25259,雅居乐雍逸豪庭 ,新区,4室2厅,166.28,南,精装,中楼,19,2009,塔楼,2,9个月以前发布
749,荣翠轩 电梯大三房 南向望花园,https://gz.lianjia.com/ershoufang/108400327282.html,160,14026,荣翠轩 ,新区,3室2厅,114.08,南,毛坯,中楼,15,2012,塔楼,3,8个月以前发布
750,全南北对流户型 通风采光好 中高楼层 视野宽阔,https://gz.lianjia.com/ershoufang/108400327823.html,350,25222,合和新城 ,镜湖大道,3室2厅,138.77,东,简装,高楼,11,2011,平房,0,8个月以前发布
751,证满两年。高楼层，视野开阔。位置安静。,https://gz.lianjia.com/ershoufang/108400331334.html,165,13953,宝铼雅居 ,铁路西,3室2厅,118.26,南,毛坯,高楼,18,2013,板楼,2,8个月以前发布
752,三房带主套 南向无遮挡 视野开阔 诚心出售,https://gz.lianjia.com/ershoufang/108400332900.html,332,25139,云港花园 ,新区,3室2厅,132.07,东南,毛坯,高楼,18,2004,塔楼,6,8个月以前发布
753,楼层好 户型方正 采光通风效果好 配套齐全,https://gz.lianjia.com/ershoufang/108400333116.html,158,20197,天马河壹号四期 ,铁路西,2室1厅,78.23,南,毛坯,中楼,11,2012,塔楼,1,8个月以前发布
754,户型方正 交通便利 采光好适合一家大小入住,https://gz.lianjia.com/ershoufang/108400335108.html,138,12239,粤兴苑 ,旧区,3室2厅,112.76,南,精装,高楼,9,2004,塔楼,28,8个月以前发布
755,天马河三期 户型好 南向忘河 采光充足 视野开阔,https://gz.lianjia.com/ershoufang/108400349237.html,225,18543,天马河壹号三期御景湾 ,铁路西,3室2厅,121.34,东南,毛坯,中楼,18,2016,塔楼,1,8个月以前发布
756,望花园三房，业主诚意出售，看房方便,https://gz.lianjia.com/ershoufang/108400350166.html,180,14611,宝铼雅居 ,铁路西,3室2厅,123.2,北,毛坯,低楼,11,2013,塔楼,1,8个月以前发布
757,城轨物业，祈福都会四房两厅两卫，业主诚心出售。,https://gz.lianjia.com/ershoufang/108400350187.html,242,17537,祈福都会花园 ,花山镇,4室2厅,138,南,精装,中楼,11,2011,塔楼,1,8个月以前发布
758,天马河西岸  地铁口  三房全新装修,https://gz.lianjia.com/ershoufang/108400350410.html,175,18291,天马河西岸 ,铁路西,3室2厅,95.68,南,精装,高楼,18,2011,塔楼,21,8个月以前发布
759,美力花园、刚需南向3房，花都中轴板块，位置靓,https://gz.lianjia.com/ershoufang/108400350414.html,210,18919,美力花园 ,旧区,3室2厅,111,南,精装,中楼,8,2006,塔楼,2,8个月以前发布
760,碧泰豪苑 三房带主卧 阳台无遮挡 采光良好,https://gz.lianjia.com/ershoufang/108400350419.html,200,17451,碧泰豪苑 ,旧区,3室2厅,114.61,北,毛坯,中楼,17,2015,塔楼,3,8个月以前发布
761,地铁口物业  花城苑  刚适三房 低楼层 随时可看房,https://gz.lianjia.com/ershoufang/108400350438.html,150,16130,花城苑 ,旧区,3室2厅,93,北,精装,低楼,8,2004,塔楼,11,8个月以前发布
762,南向舒适大两房，户型方正，业主诚意出售,https://gz.lianjia.com/ershoufang/108400352672.html,105,12815,宝铼雅居 ,铁路西,2室2厅,81.94,南,毛坯,低楼,11,2013,塔楼,14,8个月以前发布
763,凤凰北路与新华路交汇处 南向 装修新 交通便利,https://gz.lianjia.com/ershoufang/108400354358.html,195,20998,骊雅居 ,新区,2室2厅,92.87,东,简装,高楼,18,-,塔楼,2,8个月以前发布
764,西苑小区步梯中层简装三房，总价低,https://gz.lianjia.com/ershoufang/108400354695.html,118,13857,西苑小区 ,铁路西,3室2厅,85.16,北,简装,中楼,8,2012,平房,26,8个月以前发布
765,成熟配套园林小区 东南向看花园,https://gz.lianjia.com/ershoufang/108400354821.html,166,17715,万科天景花园 ,铁路西,3室1厅,93.71,南,精装,低楼,31,2006,塔楼,25,8个月以前发布
766,西苑小区地铁口精装大三房诚心出售,https://gz.lianjia.com/ershoufang/108400356487.html,145,15359,西苑小区 ,铁路西,3室2厅,94.41,北,精装,高楼,8,2000,平房,8,8个月以前发布
767,正南向望花园，配套成熟 南北同透,https://gz.lianjia.com/ershoufang/108400359322.html,200,15753,银菊花小区 ,旧区,3室2厅,126.96,南 北,简装,中楼,7,2000,板楼,13,8个月以前发布
768,房子满5唯一，保养新，配套完善，交通便利,https://gz.lianjia.com/ershoufang/108400360647.html,100,10347,华南楼 ,旧区,3室2厅,96.65,南,精装,高楼,9,-,塔楼,4,8个月以前发布
769,有小区，有天台大花园，享受秀全公园和花都湖休闲。,https://gz.lianjia.com/ershoufang/108400360653.html,120,10910,花城路顺景楼 ,旧区,3室2厅,110,南,简装,高楼,7,1995,暂无数据,12,8个月以前发布
770,万虹花园 高楼层 南北通透 看房方便 小区配套齐全,https://gz.lianjia.com/ershoufang/108400363583.html,110,10968,万虹花园 ,狮岭镇,3室2厅,100.3,南 北,简装,高楼,11,2009,塔楼,3,8个月以前发布
771,花都湖公园板块 中高层望花园 全新毛坯三房,https://gz.lianjia.com/ershoufang/108400363928.html,190,21119,美力百富雅苑二期 ,新区,3室2厅,89.97,东北,毛坯,高楼,18,2011,塔楼,1,8个月以前发布
772,碧泰豪苑      3室1厅     北向,https://gz.lianjia.com/ershoufang/108400363962.html,158,16676,碧泰豪苑 ,旧区,3室1厅,94.75,北,毛坯,高楼,16,2015,塔楼,12,8个月以前发布
773,本房朝南 采光好 视野开阔 产权清晰,https://gz.lianjia.com/ershoufang/108400371869.html,283,20276,自由人花园 ,镜湖大道,4室2厅,139.58,南 北,毛坯,高楼,29,2013,塔楼,3,7个月以前发布
774,30万首付 地铁口三房 电梯小高层 高使用率 满五唯一,https://gz.lianjia.com/ershoufang/108400372457.html,125,13158,西苑小区 ,铁路西,3室2厅,95,北,精装,中楼,8,-,平房,108,7个月以前发布
775,祈福都会两房，业主诚心出售，城轨物业。,https://gz.lianjia.com/ershoufang/108400375031.html,116,14594,祈福都会花园 ,花山镇,2室2厅,79.49,北,精装,高楼,11,2011,塔楼,3,7个月以前发布
776,户型方正实用 采光通风好 拎包即可入住,https://gz.lianjia.com/ershoufang/108400377410.html,170,13902,宝铼雅居 ,铁路西,3室2厅,122.29,南,精装,低楼,18,2013,塔楼,2,7个月以前发布
777,荣翠轩南向三房带主套，业主诚心出售。,https://gz.lianjia.com/ershoufang/108400377822.html,145,14450,荣翠轩 ,新区,3室1厅,100.35,南,毛坯,高楼,14,2012,塔楼,2,7个月以前发布
778,格局方正 南北对流 望秀全公园湖景够五年。,https://gz.lianjia.com/ershoufang/108400380609.html,105,9052,建设路(花都区) ,旧区,3室2厅,116,南,简装,高楼,8,1996,塔楼,10,7个月以前发布
779,北站地铁口 祈福物业 毛坯三房 南向 业主诚心卖！,https://gz.lianjia.com/ershoufang/108400383991.html,200,18215,祈福辉煌台 ,铁路西,3室2厅,109.8,南,毛坯,中楼,28,2012,塔楼,2,7个月以前发布
780,天马河壹号  满足您对生活的向往跟追求,https://gz.lianjia.com/ershoufang/108400384302.html,140,17830,天马河壹号四期 ,铁路西,2室2厅,78.52,东南,毛坯,中楼,11,2012,塔楼,0,7个月以前发布
781,天马河壹号五期 超大三房带主套,https://gz.lianjia.com/ershoufang/108400385650.html,225,18511,天马河壹号五期 ,铁路西,3室2厅,121.55,南,毛坯,低楼,27,2015,塔楼,0,7个月以前发布
782,带装修，格局方正，品质小区，配套齐,https://gz.lianjia.com/ershoufang/108400390681.html,175,17474,雅居乐锦城花语集 ,旧区,3室2厅,100.15,北,精装,低楼,28,2008,塔楼,2,7个月以前发布
783,此房配套设施齐全，交通便利，地理位置优越。,https://gz.lianjia.com/ershoufang/108400392376.html,98,13612,金城广场 ,旧区,2室2厅,72,西,简装,中楼,9,2000,塔楼,8,7个月以前发布
784,花都站前路 近北站 精致2房 90万 看房方便,https://gz.lianjia.com/ershoufang/108400392403.html,90,11560,花都站前路 ,旧区,2室2厅,77.86,东南,简装,中楼,8,1994,平房,6,7个月以前发布
785,地 铁口物业，采光通风好，花果山公园,https://gz.lianjia.com/ershoufang/108400394002.html,85,10241,新拓花园 ,新区,3室2厅,83,南,简装,高楼,9,2003,塔楼,106,7个月以前发布
786,溢盈湖畔，复式顶层，安静舒适，视野好,https://gz.lianjia.com/ershoufang/108400395997.html,82,9112,溢盈湖畔别墅 ,狮岭镇,3室2厅,90,北,简装,中楼,5,2005,板楼,28,7个月以前发布
787,都湖国际旁 晓翠苑 花果山地铁口 够五唯一 税费低,https://gz.lianjia.com/ershoufang/108400398432.html,156,13086,花都晓翠苑 ,新区,3室2厅,119.22,南,简装,低楼,6,1999,板楼,12,7个月以前发布
788,荣翠轩南向三房两厅两卫，业主诚心出售。,https://gz.lianjia.com/ershoufang/108400399447.html,140,12335,荣翠轩 ,新区,3室2厅,113.5,南,毛坯,低楼,15,2012,塔楼,16,7个月以前发布
789,保利花城 精装3房 户型方正 拎包入住,https://gz.lianjia.com/ershoufang/108400405381.html,226,24043,保利花城花园 ,旧区,3室2厅,94,东南,精装,低楼,27,2014,塔楼,3,7个月以前发布
790,金碧御水山庄 精装三房 业主房子闲置+少回度假+诚心卖,https://gz.lianjia.com/ershoufang/108400405996.html,110,9822,金碧御水山庄 ,狮岭镇,3室2厅,112,东南,精装,中楼,11,-,塔楼,28,7个月以前发布
791,花园小区，人车分流，环境秀美！,https://gz.lianjia.com/ershoufang/108400406107.html,300,20808,祈福万景峰 ,铁路西,4室2厅,144.18,南,毛坯,高楼,28,-,塔楼,1,7个月以前发布
792,豪利花园 一期精准三房 满二物业,https://gz.lianjia.com/ershoufang/108400407023.html,200,16478,豪利花园 ,镜湖大道,3室2厅,121.38,北,简装,低楼,12,2002,塔楼,4,7个月以前发布
793,金狮华庭，精装高层大三房，户型方正,https://gz.lianjia.com/ershoufang/108400409179.html,130,9428,金狮华庭 ,狮岭镇,3室2厅,137.9,南,精装,中楼,11,2007,塔楼,4,7个月以前发布
794,万科天景花园精装大三房带大平台,https://gz.lianjia.com/ershoufang/108400409758.html,228,19703,万科天景花园 ,铁路西,3室2厅,115.72,东南,精装,低楼,18,2006,塔楼,13,7个月以前发布
795,花都湖旁边，电梯靓层，业主急卖。,https://gz.lianjia.com/ershoufang/108400409878.html,110,13158,湖畔花园 ,旧区,3室2厅,83.6,南,简装,中楼,26,1995,塔楼,3,7个月以前发布
796,此房南北对流，格局好，视野宽阔。,https://gz.lianjia.com/ershoufang/108400414479.html,130,13702,成功楼 ,旧区,3室2厅,94.88,南,精装,高楼,9,1998,塔楼,3,7个月以前发布
797,满五年唯一  税费低  望花园园无遮挡 视野开阔,https://gz.lianjia.com/ershoufang/108400418027.html,302,23047,云峰花园2期 ,镜湖大道,3室2厅,131.04,东北,毛坯,高楼,11,2010,塔楼,1,7个月以前发布
798,地铁口旁物业，3房带主套，户型方正。,https://gz.lianjia.com/ershoufang/108400419455.html,136,13773,荣翠轩 ,新区,3室2厅,98.75,北,毛坯,中楼,15,-,塔楼,6,7个月以前发布
799,此房是望花园 中高层 视野开阔 采光好,https://gz.lianjia.com/ershoufang/108400429796.html,170,17895,雅居乐锦城花漾集 ,旧区,3室2厅,95,北,毛坯,中楼,32,2008,塔楼,1,6个月以前发布
800,金碧御水山庄 过五唯一冰点税费 经济两房,https://gz.lianjia.com/ershoufang/108400431427.html,65,10141,金碧御水山庄 ,狮岭镇,2室2厅,64.1,西,毛坯,中楼,6,2009,塔楼,1,6个月以前发布
801,雅居乐锦城花漾集  三房两厅两卫 115方210万,https://gz.lianjia.com/ershoufang/108400434577.html,205,17827,雅居乐锦城花漾集 ,旧区,3室2厅,115,东北,毛坯,高楼,32,2008,塔楼,4,6个月以前发布
802,小区环境好，活动空间大，南北对流,https://gz.lianjia.com/ershoufang/108400436841.html,240,20762,南华时代城 ,铁路西,3室2厅,115.6,南,毛坯,高楼,28,2010,塔楼,1,6个月以前发布
803,此房楼层低，格局好，光线充足。,https://gz.lianjia.com/ershoufang/108400437472.html,97,9911,花城路 ,旧区,3室2厅,97.88,东南,毛坯,中楼,6,1990,板楼,37,6个月以前发布
804,骏威广场，三房两厅两卫，东北向。,https://gz.lianjia.com/ershoufang/108400442220.html,290,22873,骏威广场 ,旧区,3室2厅,126.79,东北,精装,中楼,11,2000,塔楼,14,6个月以前发布
805,地铁口物业 毛坯房随自己心意装修,https://gz.lianjia.com/ershoufang/108400446290.html,250,19469,云峰花园1期 ,镜湖大道,3室2厅,128.41,东南,简装,中楼,12,-,塔楼,10,6个月以前发布
806,凤华路银建楼，东南向大3房，总价低。,https://gz.lianjia.com/ershoufang/108400446345.html,96,10448,凤华路 ,旧区,3室2厅,91.89,东南,简装,中楼,8,1997,塔楼,31,6个月以前发布
807,祈福都会花园 万达轻轨旁 高层南向望花园,https://gz.lianjia.com/ershoufang/108400449691.html,115,14297,祈福都会花园 ,花山镇,2室2厅,80.44,南,精装,高楼,11,2009,塔楼,5,6个月以前发布
808,此房是南北对流 采光好 视野开阔 一梯两户,https://gz.lianjia.com/ershoufang/108400451608.html,285,22142,路劲隽悦豪庭二期三期 ,旧区,3室2厅,128.72,南 北,毛坯,高楼,6,2014,板楼,3,6个月以前发布
809,低楼层 超级舒适 毛坯小3房 诚心出售,https://gz.lianjia.com/ershoufang/108400453275.html,122,13912,豪利幸福里 ,狮岭镇,3室2厅,87.7,南,毛坯,低楼,11,2010,塔楼,3,6个月以前发布
810,利丰大厦，东南向标准两房，格局方正实用,https://gz.lianjia.com/ershoufang/108400454882.html,102,14248,花都利丰大厦 ,旧区,2室2厅,71.59,东南,简装,中楼,9,1998,塔楼,19,6个月以前发布
811,地理位置优越秀全公园旁，电梯房南北对流,https://gz.lianjia.com/ershoufang/108400456044.html,122,12859,成功楼 ,旧区,3室2厅,94.88,南 北,简装,中楼,9,1998,塔楼,1,6个月以前发布
812,鼎信四季花园 南向四房 看房方便,https://gz.lianjia.com/ershoufang/108400458994.html,300,16283,鼎信四季花园 ,旧区,4室2厅,184.25,南,毛坯,低楼,21,2012,塔楼,3,6个月以前发布
813,南航花园 政府板块 南向望花园 全新毛坯  顶楼带天台,https://gz.lianjia.com/ershoufang/108400459007.html,320,20126,南航花园 ,新区,4室2厅,159,南 北,毛坯,高楼,18,2001,塔楼,13,6个月以前发布
814,证满2年  小区中间位置  看房方便，有钥匙看房方便,https://gz.lianjia.com/ershoufang/108400460847.html,318,22982,大运家园 ,新区,3室2厅,138.37,南 北,简装,中楼,11,2009,板楼,2,6个月以前发布
815,大运家园3房少有房源，房产证在手无按揭,https://gz.lianjia.com/ershoufang/108400460856.html,235,23866,大运家园 ,新区,3室2厅,98.47,东 西,简装,低楼,11,2009,塔楼,26,6个月以前发布
816,地 铁口物业  静中带旺  配套完善,https://gz.lianjia.com/ershoufang/108400460860.html,105,10701,通安巷小区 ,旧区,4室2厅,98.13,南,简装,中楼,7,1994,板楼,13,6个月以前发布
817,此房满2年，格局方正实用，采光通风好，交通便利,https://gz.lianjia.com/ershoufang/108400460882.html,370,21124,合和新城 ,镜湖大道,4室2厅,175.16,南,毛坯,中楼,15,2011,平房,2,6个月以前发布
818,此房满2年，格局方正实用，采光通风好，交通便利,https://gz.lianjia.com/ershoufang/108400460899.html,289,21730,合和新城 ,镜湖大道,3室2厅,133,南,精装,中楼,11,2011,平房,7,6个月以前发布
819,地铁物业   楼龄新  小区环境好,https://gz.lianjia.com/ershoufang/108400462719.html,180,20225,保利悦廷 ,铁路西,3室2厅,89,西南,精装,低楼,32,-,塔楼,12,6个月以前发布
820,花都湖旁，莲塘地铁口，大润发商圈，拎包入住。,https://gz.lianjia.com/ershoufang/108400462967.html,235,31757,祈福生活无限 ,新区,3室2厅,74,东南,精装,低楼,12,2010,塔楼,5,6个月以前发布
821,雅宝新城英伦世家 实用两房 私家花园100平方,https://gz.lianjia.com/ershoufang/108400471753.html,218,23637,雅宝新城英伦世家 ,狮岭镇,2室2厅,92.23,东北,精装,低楼,20,2012,塔楼,3,6个月以前发布
822,业主诚意出售 雅居乐领会 中高层 南向 98房三房,https://gz.lianjia.com/ershoufang/108400473515.html,168,17143,雅居乐·岭会 ,狮岭镇,3室2厅,98,东南,毛坯,高楼,30,-,塔楼,1,6个月以前发布
823,建设北CBD中轴线南向三房视野无遮挡望花园,https://gz.lianjia.com/ershoufang/108400473638.html,143,12285,芙蓉春晓 ,狮岭镇,3室2厅,116.41,南,毛坯,低楼,29,2015,塔楼,1,6个月以前发布
